Number,Name,ID
6,fdl,822623795307216965
7,lapk jogos+18,648890542788182036
8,🔥 ndc 🔥,849137097419390996
11,⛔ manutenção ⛔,776097788181086218
12,🍭・recompensas grátis™ [new],1092879085677576202
22,reino da sedução,974840339288457277
24,finch cuts,1141741351222902874
25,cantinho do lorde,814680968706392095
26,👑 privê #50k,961006433585991680
27,illusion,869669730116599839
31,call of duty brasil: warzone,686751510369140837
33,🇧🇷 warriors: animes | jogos | interação - (2x sonhos!!) 🎃,832368852871938079
34,america,1000563801587974196
52,㋛ ㋡,1080925670475047004
56,btl,805202834475319317
68,™ mansão das lollys 🍭,1050800498346823752
77,❄・mystic universe - blox fruits trading #25k・❄,940477578681122858
78,🔥 idp hot 🔥 #30k,892778230866665472
80,╲⎝⧹xizzenny famiℓy ツ ⧸⎠╱,790938050057732107
82,blox fruits - brasil #19k,1030151475135004794
87,server bom,703360124143796265
90,cats&coffe,806244869722341396
93,otaku supreme™,693569005444923412
96,legado do hoshizora,905657718671540326
99,zone world brasil,768035333283119114
101,zero community™,988251099117006878
111,🔥 red ゲーム,908485617057419285
112,linksbr,954469430564388894
115,galo sniper,818515995530362921
118,animes paradise,872962755538350110
120,etrix™,768471311831662673
121,animes diariamente,239822350399438849
122,𝕭 𝖎 𝖌 𝕯 𝖔 𝖌 𝖘 🎄🎁,726927269863358546
123,brunablince,401453243537948682
124,programadores br #15k,755483507698172045
125,🔥reino do kaos🔥,1083139734022402140
126,haysen ─ republic,914159864660504636
127,torajo verso 🍏,1053090340044816396
128,original gangster,734979911239860244
129,mundo dos animes - brasil,381920827513503755
130,nitro free,640627456918814721
131,🥀 the family' 🥀,688391422088314882
132,comunidade sea of thieves brasil,806147920369287179
133,carol das plaquinhas,850197487910387723
134,estudo militar | brasil,876641874704744538
135,mugiwaras,736701720800919622
136,servidor da solange,427197224779513876
137,stardix,447833437697474562
138,m2games,343570336987611147
139,otaku world #o recomeço,906589243575500811
140,santa cruz | loading....,1071986382433693829
141,escalada ao éden,721373386672046117
143,😈 idp hot 😈,778382480217735168
144,e m p i r e s ™,952977503029440593
145,vale chernobyl 🔞🌈 😈,792196038949732382
146,distrito das amizades #11k,961488048217030696
147,vdcd・valorant,850368657787715624
148,astolat,642499335858290701
149,r4r1dade's,988463361542983750
150,baby shark,828401170312986694
151,🌸 sapekinha 🌸,1049322826479439922
152,😈 putaria gifs 美しさ,854887732492763177
155,💕cabaré das gostosas ʚĭɞ,859558365638295572
156,[𝐑𝐏]『jujutsu full power #11000』🌙,787761831212220466
157,☕・coffe place,747304322248999013
158,high5 club,412169234492293130
159,frota #10k,740670420998553622
160,📣 exp divulgações ~ lite,616734092133793792
162,anime's days manutenção,743286609277091981
163,者 anti club’࿔ 🍥,961862168448491560
164,gifs,704035228452257854
166,cidade alpha,948689163425812562
167,enifler,626945843416530944
168,networking brasil,767220824302026802
171,asyllum,989658747603398717
180,neem#100k,642579646814093332
182,shyfur femboys 🦊,1044244361262682212
183,⭐stardew valley brasil🍃,389498644090322944
185,corinthians,933854216269738014
187,guilda dos aventureiros,731011816553054291
189,bat caverna,957379345935110185
190,brasil packs #10k 🔥,891651427003400222
191,migramos olhe o chat!,812023633677385748
192,! : ˖🍰 decor ˖ world ❟#8k,912170179922899036
193,r.i.p hardcore,548144067167387678
194,carioca gifs - #10k,983802545292071002
195,the ghost,916375675718488094
197,🎄mangá easy #30k 🎄,867833103513550850
203,⚡・light store,1046597660318105660
209,dysterra,708499148957024299
211,eterna fgc,369857969875320832
213,lapromotion,954749166591025172
218,🔥 │ underworld,661039080288550961
229,ao infinito e além!,660965501798711302
237,union of savages,1148192008087818380
255,gifzada: emojis,776916278060908585
271,the playboy's,749034611845234810
272,🚀 drops mta #10k,895777905337061417
273,😈webs city🔞,1001961929188843552
274,brasil new start,381623944748466188
275,moonkase,795366511560228924
276,poketop!,744348727971676161
277,life style 🏅,622543002358906920
278,[bsr 4] central das fugas #6k,936069152181997579
279,aimfovtrem,874150562516598785
280,cr flamengo,956003357129076746
281,友night empire・🌙,478584861532225546
282,estu,854915204902420540
283,servidor oficial do house of games,378676987134345226
284,ｍｉｄｎｉｇｈｔ フローティング,462106987673419776
285,galera foqd,340299065495388160
286,back street,903872901797793852
287,thomefn,711919786065395745
288,locking,776128738256879646
289,the project,439263663837151242
290,sub,831662059326275597
291,em construção,853653125391056896
292,mundo místico,1059407066613174282
293,geek hub,727658536363884674
294,xnation,845626304064782337
295,dayz apocalypse,963345674424946738
296,white stock #5k,1023661918042456086
297,padaria 🍞,748917809995841666
298,clube dos otários 🏮,818824591434055681
299,🔯club succubus🔯™,910532180894154782
300,communyt hot🔥,1106015278250328146
301,simplex®,713463841534771251
302,xbox brasil,542850472046755847
303,servidor morto (picasso),844504437992062997
304,tropa do dih 🎄,614127768468324412
305,👑 judsonzinho ✔,648676361468379177
306,golden bros brasil,914175876587986994
307,tinder hot🔥,838204838482673694
308,plaggxz | 500k,894776626255114330
309,webnamoro 🤍,1107150248838705245
310,the kong studio ot,853766114219261962
312,友'friends da baixinha・👑,702695994927611925
313,é o fim,973700881868546098
314,z dubs,407593596414590976
315,mini city [rp],713473586882412676
316,cs:go brasil,436516889389301761
317,lar das garotinhas,1064933874615988335
318,sky masters #5k,764206630337511475
319,cantinho da amorinha🔥,1052028285313368115
320,dead by daylight brasil,387358429167222794
321,😈 hell club 🔥,1130580096428802301
322,𝙂𝙖𝙢𝙚𝙧𝙨 𝙤𝙛 𝙀𝙣𝙩𝙞𝙩𝙮,434497014827319307
323,anime’s space,977537725278330882
324,kakásampx community,918838209323073566
325,𓂃 🌙 kny: new generation™,868986167750717460
326,w3 research,687026889646407752
327,zeromancada,673978453694873660
328,five m free skin #8k,828126845492658217
329,amigos,1101386670240174102
330,jrm e-sports,776440303895707699
331,🌇 bloxcity #5000,850470040636751902
332,☕ cafeteria geek ☕,851107851682447360
333,𝕮𝖆𝖓𝖙𝖎𝖓𝖍𝖔 𝖋𝖊𝖑𝖎𝖟 𝕮𝖔𝖓𝖋𝖎𝖆😳👉👈,886080678846947410
335,daddy issues™☕,876974813606998026
336,mugiwara's comunitty,1050604411270987836
337,sex hot 🔥,1116409081675128903
338,fs community #5k,822971853198589972
339,insta: @beccadasilva_,904961002095906876
340,juventude futebolista br ®,1070359117362901032
341,thomas community,505372649959063552
342,novel brasil,726290600332230686
343,𝖦𝖮𝖣'𝗌 ⚡,879741128071598120
344,df scrims | sa,887191020566085673
345,🥚 blox boosts 🥚,859921942177251378
346,renatinha,774392261857116171
347,aqua reversed,815380395334828032
348,game company [✝],514586129878482948
349,✨discórdia total✨,733109098253385750
350,🍊bergamotanos🍊,451847193826164758
351,cantinho dos artistas,842796655875325982
352,[rework]「🌟」star piece™「🌟」,848976407659806730
353,lost,733217498903740490
354,divulgação & elite ~ 📣,993868478731800737
355,🍭universo gifs 🖤,849291802997555231
356,🎄comunidade do zullux 🎄,835879577595150406
357,malibu rp,425554758468763650
358,starsfamily™ 🩸,1006703572601294888
359,❝just delicious❞,848039381662957609
360,零 depressivos por mulher🍭,816685319910719508
361,🌌 éden✨,779767816965980222
362,limitless community | 4k 🇧🇷,1047661004714160138
363,spartangamer oficial,509746444333481985
365,📣 divulgue aqui | sln,688409928473378931
366,cabaré das lollys lite,994659860442533949
367,mad world,887762509434609664
368,thatskygamebrasil,603720312911167622
369,botcord,795750949401919518
370,tropa do floyd #5k,840447904019775498
371,b🅰n1d0s,941508293610840084
372,cdo,776923417961824308
373,duzzk,834262865791811624
374,comunidade de mta/samp,947933056503795793
375,ordo aureus,903709811680632832
376,✓ free games nft comunidade ®,901660641796952085
377,mynimes,790823719282671627
378,cod warzone ii brasil,1046628963704905728
379,brenin rj7,928328007867830303
380,cidade real | roleplay,818852937031614484
381,🪐﹒kingdom dark,966332407085154335
382,tsundoku,697958499589554217
383,mm2 farming brasil,1080828700506996776
384,evolusty partner #2,661765576217198602
385,- ̗̀『🌟┇ξ sʜɪɴᴏʙɪ sᴛʀɪᴋᴇʀ [ʀᴘ] | 🌟 #4k ξ,695366422775332905
386,juju,853235354467696690
387,leveling love #5k ネ,1030609944736714863
388,fleep pyro brasil 🇧🇷 #5k. - jogos,1013818119078285333
389,ordem calamidade,1001492008621318284
1161,migramos,962141062103695380
391,rlbr,561208699629338648
392,! hydra bot!,747420727908630658
393,canal tchukine,788622115099377704
394,café literário ☕,720399655036518401
395,𝗺𝗮𝗿𝗶𝗲𝗹𝗹𝗮’𝘀 𝗴𝗮𝗿𝗱𝗲𝗻🌷 庭園..♡,712381067096621107
396,hostza,1059218949184688158
397,unis da estela (●'◡'●),741763372634210355
398,gta v online,863633458579898379
399,👿 only 👿,718640091408498808
400,🌷 ◟sweet shop ! ⸝⸝,768833272049303594
401,hentaizero,464642820494458901
402,mercury - hentai,853399538851905547
403,webnamoro & trakinagens #4k,845488507542962177
404,lendz™ 🌎,764888495885516830
405,trixie's,895478604429922304
406,nugranisasqwweq,829386623858900993
407,for you ₊˚,856873114926972929
408,rangers of legends [br],389953863446429719
409,🥀 sad nights ☪,721872107797086208
410,royal_rpg,1012911318312964127
411,tg community,884063022103019570
412,👑wydbr.com 👑,387602427353759745
413,cucco productions server,671693369067569159
414,😈🔞sxporn🔞😈 3k,914174589884583936
415,império panda nerd,671448984958795777
416,midnight,695694148984111164
417,anarquia.xyz,669200008888844308
418,dream community,629698263070801921
419,cyb&r$t0rm,1105889680295198731
420,midnight dreams!,876957594797891614
421,família sky,858090735894265866
422,h o w l i n g a b y s s,410485105367318538
423,oyasumi 休,422115563167547404
424,filosofia uhum uhum,868198343883505704
425,furry discord português,231193277842325504
426,goma do gl,731314525462069408
427,🌻 sunflower palace 🌻,851092248808652822
428,mcpe games,723694368036356160
429,tami メブ,724373830671532164
430,império 👑 nebulosa,755255029715435630
431,ৎ⛩꒱︰kimetsu revolution ੭,878384053143887922
432,m'amados do vovis ♥,316040253343531008
433,pelé neymar,930342761499066388
434,212 👑,810942902774792252
435,migramos 💞 weebs in heaven,418905476281925633
436,favela de otakus,881628723378524160
437,bng - br nem é gente,549749254957039617
438,pokemon city #3k,857698127326347266
439,família dos cenouros,540197936034742277
440,[erp] dystopia,850569904755048488
441,sophia elementaris hub 🚀,712371103686983711
442,bisnaguito,1072378040237174854
443,x-media🔥,1023388024979062890
444,ulivre,866378348368625704
445,bvr pixelmon,822700911600205835
446,olimpo + 18,755259443196854285
447,😈 privacity 熱い,664154878620336139
448,wp,260119800947277824
450,família das frutas #3k 🔥🔥,1015647952359923752
451,fall guys brasil,743867536604397649
452,comunidade de ea fc 24,785616187753103370
453,𝒶deptus﹒xmas,922298842509115413
454,comunidade brasil #cmbr 🇧🇷,1053510196602871810
455,genshin palace™,1043732084532969502
456,barcelona roleplay,1005277207435956254
457,愛 anime's heavenly #3.5k,966109396260241458
458,🚀a terceira rocha,741792082087116960
459,cyber hotel 𓆩☾𓆪 #5k,1038906741724823652
460,porão night club🐰 - discord,845040142384758794
461,web churras e amigos 🎄🎄 #4k,863550522967195669
462,mansão dos mil dados,670407327136088064
463,não é porque estou..,847644559138619392
464,jovenz,785850220479119381
465,vulcan 3.3k,410158562929803275
466,divulgue agora!,759182169830195293
467,dayz nemesis online,616765729613807622
468,家 nekrin house 🏡,325391902679498752
469,comunidade conecta,862474064684515379
470,império da evelynn,975808754023022632
471,anovaera 🕊🩸.,857660806464012298
472,𝗦𝗵𝗶𝘁𝗽𝗼𝘀𝘁𝗲𝗿𝘀 𝗱𝗲 𝗣𝗹𝗮𝗻𝘁ã𝗼 #𝟯𝗸,934897566791925831
473,oh muié que ta lendo entra no sv (precisamos de mais muié nos ajude socorro help),762475236095819796
474,🧙🏼 mfa 🧙🏼,345228948915093506
475,kakarotto ff #1m,811703494004047932
476,📣 ~ fast ~ divulgue tudo #4k,674638476594905121
478,trades de rocket league pt & br,1057436648549392455
479,alfamu,637350833373315073
480,artists and singers,681958246243893366
