Servidor do Goularte, 311627659828527104, 588557
FOGUETE PVP, 727557435363164240, 570489
Garena Free Fire Brasil, 388600486552403980, 364506
IT’S A TRAP, 801894798641332254, 336014
FamiL 🐻, 634770393382518826, 324001
Canal Clash War, 492858547919650836, 321660
Stumble Guys - Brasil, 938720732110782464, 294036
👑 BRASIL ROLEPLAY, 595732094899060736, 293347
Space Roleplay, 782386903231758346, 264524
Blox Fruits 🇧🇷 SrDarkBlox YT | Blox Fruits • Anime • Social • Gaming • Emotes & Emojis, 714131978299113513, 256618
Lucas ON, 537007313492639765, 243620
DISCORD DO CELLBIT, 261289646065975296, 242189
Rocketseat, 327861810768117763, 232641
CDW, 934635845460303882, 222071
Canal PlayHard, 334791529296035840, 221917
Among Us Brasil (Português), 594296025561169926, 217650
LOUD Coringa, 756096490300112957, 217148
👑 E D N 👑, 489286929473601536, 209014
Família Zezão, 456170392701108244, 195909
DERPONCE, 376174829486735360, 185978
Oficina do ErikCarr ®, 582430782577049600, 184515
🌈 IMPÉRIO RJ ・ SEASON 1 🌈, 538532806544850962, 183088
Universo do Godenot, 400755126047997952, 177286
CIDADE SANTA | SEASON 5, 690983940567334964, 160882
Cidade Alta RP, 519958987953668102, 156233
game.tv BR, 520285222793904176, 154332
🌴 BAHAMAS・OFICIAL🌴, 1029541397835022346, 153014
Comunidade Mangá Livre - SlimeRead, 472974014088740885, 152718
Pixelmon Brasil Oficial ©, 478961632236666881, 147468
Brazuca City | Season 3, 807106184850178078, 146616
Hype Roleplay, 714265730555576341, 144245
Disney Roleplay, 835190848979075072, 143956
Brasil Play Vício Red, 637164931027959808, 140149
Torre do Wuizard ❄, 877639472173428757, 137852
GALAXY RP | BR, 826527057399775243, 135895
CDL, 777657136137764874, 132894
LORD, 800147435196383262, 132873
GIFZADA, 953748240589787136, 130908
VALORANT - BR (OFICIAL), 701867552946782260, 129631
Destiny Roleplay, 512098978331099146, 129403
Elixir Lab, 786233887705137163, 123003
BDA 🔥, 692883736940773376, 121128
LOUD BAK, 727053704892514344, 119642
RUSH, 952009663904358460, 119556
Gartic BR 🇧🇷, 456915295307694111, 117555
7Criminal, 951504347378884648, 115809
VSCO | GIFs Icons Emojis & Emotes, 627485429783855124, 115496
Fugazzi Culture, 857830382938095647, 112785
TKF, 1029514308972982335, 110178
GIFNITY, 778802467604791337, 109934
Apartamento da Loritta 🌇🌃, 297732013006389252, 108631
FiveZ Brasil - Season 8, 719278686699913227, 108384
Comunidade Tigre TV, 802185764364353577, 104387
Bkinho, 626498806405660687, 102227
Mush, 356472653906968576, 97468
👑 Portugália RP 👑, 566092875499044865, 96458
Runeterra - BR, 611190099496927234, 95798
FDL, 822623795307216965, 94623
PLIQUE FAMILY, 898613243700998224, 92229
Team History, 422981185673625600, 90332
BUILD Scrims | SA, 862771292389900308, 89765
Brasil Play Shox, 656244004609851455, 89209
Spot Community, 894736096708145232, 87247
Supremo - by Painite, 1019244218973159484, 86824
Good Trades #100k | Blox Fruits Trading・Anime・Social・Gaming・Emotes & Emojis, 1022303823013888041, 84826
Let's Code, 867748958201315328, 84557
B4 E-Sports, 469680989174628364, 84355
Canal Flakes Power, 485486733207666688, 84033
Brasil Capital Roleplay, 589505947702001666, 82972
Mangakás MK, 826142700889309265, 81727
Forever, 496489150816714754, 80384
Comunidade Gallen, 785227659650924555, 80330
🧟・Xou Family, 714973301902016554, 80312
Sebby Games, 510680019593461763, 79912
☠ CyberPunks ♡, 637443986528665611, 79423
Servidor do Buuf, 474390629951209475, 78331
PlayRay - RPG, 922504003978395648, 77656
Murilo Fabras, 766279077467652120, 74436
⛔ Manutenção ⛔, 776097788181086218, 74170
Oficial Fortnite Brasil & Portugal, 499203081209118720, 73809
Play Séries Filmes e Animes | Central, 643597733227397172, 71314
BLAKK GIFS #70K, 694112329645948988, 69353
Paulinho o Loko, 772857533631168552, 69171
Algazarra, 774822577285758996, 68669
TelleZ, 908779712673894431, 68228
Cartola 🎩, 758074370890530908, 67207
Gamers Club FN Community, 703694032450093107, 66900
Sorveteria da Guima®, 762548112622878720, 66650
Decorations For Servers! : #70k, 732311394879406192, 65933
Servidor dos Mentecaptos, 420378219854823424, 64566
Rocket League SA, 719000489106210856, 64269
Blueyes World 🌎, 907040538254004274, 63816
